尬	尬
局	局
屁	屁
尿	尿
尾	尾
岐	岐
岑	岑
岔	岔
岌	岌
巫	巫
希	希
序	序
庇	庇
床	床
廷	廷
弄	弄
弟	弟
彤	彤
形	形
彷	彷
役	役
忘	忘
忌	忌
志	志
忍	忍
忱	忱
快	快
戒	戒
我	我
抄	抄
抗	抗
抖	抖
技	技
扶	扶
抉	抉
扭	扭
把	把
扼	扼
找	找
批	批
扳	扳
抒	抒
扯	扯
折	折
扮	扮
投	投
抓	抓
抑	抑
改	改
攻	攻
旱	旱
更	更
束	束
李	李
杏	杏
材	材
村	村
杜	杜
杖	杖
杞	杞
杉	杉
步	步
每	每
求	求
汞	汞
沙	沙
沁	沁
沈	沈
沉	沉
沅	沅
沛	沛
汪	汪
決	决
沐	沐
汰	汰
沌	沌
汨	汨
沖	冲
沒	没
汽	汽
沃	沃
汲	汲
汾	汾
灶	灶
灼	灼
災	灾
灸	灸
牢	牢
牡	牡
牠	牠
狄	狄
狂	狂
玖	玖
甬	甬
甫	甫
男	男
甸	甸
皂	皂
盯	盯
矣	矣
私	私
秀	秀
禿	秃
究	究
系	系
罕	罕
肖	肖
肓	肓
肝	肝
肘	肘
肛	肛
肚	肚
育	育
良	良
芒	芒
芋	芋
芍	芍
見	见
角	角
言	言
谷	谷
豆	豆
豕	豕
貝	贝
赤	赤
走	走
足	足
身	身
車	车
辛	辛
辰	辰
迂	迂
迆	迤
迅	迅
迄	迄
巡	巡
邑	邑
邢	邢
邪	邪
邦	邦
那	那
酉	酉
里	里
防	防
阮	阮
阱	阱
阪	阪
並	并
乖	乖
乳	乳
事	事
些	些
亞	亚
享	享
京	京
佯	佯
依	依
侍	侍
佳	佳
使	使
佬	佬
供	供
例	例
來	来
侃	侃
佰	佰
併	并
侈	侈
佩	佩
佻	佻
侖	仑
佾	佾
侏	侏
兔	兔
兒	儿
兩	两
具	具
其	其
典	典
冽	冽
函	函
刻	刻
券	券
刷	刷
刺	刺
到	到
刮	刮
制	制
剁	剁
劾	劾
卒	卒
協	协
卓	卓
卑	卑
卦	卦
卷	卷
卸	卸
卹	恤
取	取
叔	叔
受	受
味	味
呵	呵
咖	咖
呸	呸
咕	咕
咀	咀
呻	呻
呷	呷
咄	咄
咒	咒
咆	咆
呼	呼
咐	咐
呱	呱
呶	呶
和	和
咚	咚
呢	呢
周	周
咋	咋
命	命
咎	咎
固	固
